"nombre","categoria","mias_o_comunidad","origen","ruta_original","hash_sha256","fecha_modificacion","confianza","ruta_biblioteca","razon_archivo","tipo"
"token-auditor","devops","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\token-auditor; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\token-auditor","C:\dev\jewel-ghl\core\skills\token-auditor","803184CF4CFC3BDE41B748EDA10267E685828C7FCC60072539D60291E3257DC1","24/06/2026 10:48:46 p. m.","baja","C:\skills-library\devops\comunidad\token-auditor","","instruccion"
"ui-styling","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\ui-styling","C:\Users\vonde\.agents\skills\ui-styling","DF0BE8A4C80475254729B34B8C272E51BD683506090F9E6E1257EAB40468431C","29/06/2026 11:03:22 p. m.","alta","C:\skills-library\diseno\comunidad\ui-styling","","instruccion"
"ui-ux-pro-max","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\ui-ux-pro-max","C:\Users\vonde\.agents\skills\ui-ux-pro-max","657139E0BEE6244280D50D041D96C85A558B661C6CE20361229CB59307F99E64","29/06/2026 11:03:22 p. m.","alta","C:\skills-library\diseno\comunidad\ui-ux-pro-max","","instruccion"
"verdent-image-cli","contenido","comunidad","verdent=C:\Users\vonde\.verdent\skills\verdent-image-cli","C:\Users\vonde\.verdent\skills\verdent-image-cli","3029D9AA0004DACDC9D0349CB0CD22ADAA6ACCD2E53D6C9143990B85680E6A1B","14/05/2026 06:23:17 p. m.","alta","C:\skills-library\contenido\comunidad\verdent-image-cli","","instruccion"
"video-pipeline","contenido","mias","claude=C:\Users\vonde\.claude\skills\video-pipeline","C:\Users\vonde\.claude\skills\video-pipeline","209B7FF0B5ADDF42CB647FA1CC1F9768B30A7C7E2F29FA12964CE5F268EE683A","24/07/2026 07:55:44 a. m.","alta","C:\skills-library\contenido\mias\video-pipeline","","instruccion"
"video-visuals","contenido","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\video-visuals; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\video-visuals","C:\dev\jewel-ghl\core\skills\video-visuals","C19E3F0766FF33B0BC1A4D3931C63779F7A45E0F5EC3F11F5650F0D0218D9A7F","24/06/2026 10:48:46 p. m.","alta","C:\skills-library\contenido\comunidad\video-visuals","","instruccion"
"web-design-guidelines","diseno","comunidad","agents=C:\Users\vonde\.agents\skills\web-design-guidelines","C:\Users\vonde\.agents\skills\web-design-guidelines","F4647CA866A3ACCF763777F83E7682954F0187CD6BEA7EEA0399796652414E8F","29/06/2026 11:17:56 p. m.","alta","C:\skills-library\diseno\comunidad\web-design-guidelines","","instruccion"
"web-quality","diseno","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\web-quality; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\web-quality","C:\dev\jewel-ghl\core\skills\web-quality","9C6E0EE828764C29F97CE34A0002DA9CA5A3F3792056BD4EBB04A6E5C17A220E","24/06/2026 10:48:46 p. m.","alta","C:\skills-library\diseno\comunidad\web-quality","","instruccion"
"website-3d","diseno","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\website-3d; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\website-3d","C:\dev\jewel-ghl\core\skills\website-3d","44719AB0F5B950B5B32D33C03B1E244FDCB7E6CE6D8B773295C0E6CB3C18C338","24/06/2026 10:48:46 p. m.","alta","C:\skills-library\diseno\comunidad\website-3d","","instruccion"
"xlsx","contenido","comunidad","verdent=C:\Users\vonde\.verdent\skills\xlsx","C:\Users\vonde\.verdent\skills\xlsx","7463B597564886BFFC616C182BE6BD4CA4CD6B497400A328FE54C485928965B1","12/05/2026 02:05:17 p. m.","alta","C:\skills-library\contenido\comunidad\xlsx","","instruccion"
"audit","devops","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\audit","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\audit","F4DEF902D75E8B986C6F8290DE60CBC1F4A8B3E851D8C566D563B09AD9A5FAF1","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\devops\comunidad\audit","","instruccion"
"execute","agentes-meta","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\execute","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\execute","FDE1DC816091A52761A3189DE9F84F5D1D7880CD37406CC9E799CDC4ABA705DC","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\agentes-meta\comunidad\execute","","instruccion"
"explain","agentes-meta","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\explain","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\explain","F8C25CDAF19E4EEF621FC0DAD82FDE9752D87E5AEAE3B86BCBDC1076B96496BE","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\agentes-meta\comunidad\explain","","instruccion"
"improve","backend","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\improve","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\improve","7952AF1612BE828CC35627E6721C63DE12F6D4644DBEEAE46246762A487DA1E6","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\backend\comunidad\improve","","instruccion"
"next","agentes-meta","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\next","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\next","2177959BF7E53941CA7AC00B603A02127B2E717EBB3B511A478B1E29B989D52B","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\agentes-meta\comunidad\next","","instruccion"
"preflight","devops","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\preflight","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\preflight","2BF7BA26A590FAB4B588EE4454A06C6A5E9D13BC189A33C7FAF64AE1388E7CEE","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\devops\comunidad\preflight","","instruccion"
"recall","agentes-meta","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\recall","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\recall","944B4B92944D1538BE0DAA01DF3120EA513BC95215185608D4700022929855B0","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\agentes-meta\comunidad\recall","","instruccion"
"remember","agentes-meta","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\remember","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\remember","96B6B75398B7E893353DBE2033737213922527ECC85BC50D22C6FB173C80E982","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\agentes-meta\comunidad\remember","","instruccion"
"security","seguridad","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\security","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\security","A04329059994D9FC1AEA099D474D9A578142C84F8FA72278A73675AC1A696001","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\seguridad\comunidad\security","","instruccion"
"ship","devops","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\ship","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\ship","45C3E1B1574E1C569A6D58296A3522FCD4B39E5F4D8CC28C5650A1BBE32003E3","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\devops\comunidad\ship","","instruccion"
"vibe","agentes-meta","comunidad","wsl(.claude)=\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\vibe","\\wsl.localhost\Ubuntu\home\vonde\.claude\skills\vibe","AF473A6C8E6917A2FA3BE0CF997AA50270A593A6467D30B53857A0A57919D6A5","27/07/2026 12:34:42 p. m.","alta","C:\skills-library\agentes-meta\comunidad\vibe","","instruccion"
"composio-cli","agentes-meta","comunidad","wsl(.agents)=\\wsl.localhost\Ubuntu\home\vonde\.agents\skills\composio-cli","\\wsl.localhost\Ubuntu\home\vonde\.agents\skills\composio-cli","566AFCF8C391C115D8F0C261D90C93E45C25A47700E15C32E1D71942F4B6A9E0","29/07/2026 11:43:30 p. m.","alta","C:\skills-library\agentes-meta\comunidad\composio-cli","","instruccion"
"best-of-n","agentes-meta","comunidad","wsl(.grok)=\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\best-of-n","\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\best-of-n","E0E1849EAD8D884030E1D34BB651517C9961918F6E1EC62457C68DD2BE06636B","29/05/2026 10:22:28 p. m.","alta","C:\skills-library\agentes-meta\comunidad\best-of-n","","instruccion"
"check-work","agentes-meta","comunidad","wsl(.grok)=\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\check-work","\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\check-work","1D9044A4F02C3ABCB4153783D451611731F669643BA371BB6069A1E1C2D3E95D","29/05/2026 10:22:28 p. m.","alta","C:\skills-library\agentes-meta\comunidad\check-work","","instruccion"
"create-skill","agentes-meta","comunidad","wsl(.grok)=\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\create-skill","\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\create-skill","FEAD9243B902177003C6F0A9D51C6768E20DDCB388BE15D68769950D440BFD61","29/05/2026 10:22:28 p. m.","alta","C:\skills-library\agentes-meta\comunidad\create-skill","","instruccion"
"docx-wsl","contenido","comunidad","wsl(.grok)=\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\docx","\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\docx","CFBABD72B1AEC7DFAAD988FB6E5E16B27DC744B9A00CAE15DB9045E95F53903E","29/05/2026 10:22:28 p. m.","alta","C:\skills-library\contenido\comunidad\docx-wsl","","instruccion"
"help","agentes-meta","comunidad","wsl(.grok)=\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\help","\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\help","E06A0CDA8C40CBB3960A6F98D1BB4F4F9253CA1BF8F99E56FDF35D229AAEF52D","29/05/2026 10:22:28 p. m.","alta","C:\skills-library\agentes-meta\comunidad\help","","instruccion"
"pptx-wsl","contenido","comunidad","wsl(.grok)=\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\pptx","\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\pptx","E5B0DF918CBE9D62508B3CF808D73899633F82FC19F6258A25EF9F0DE7E62125","29/05/2026 10:22:28 p. m.","alta","C:\skills-library\contenido\comunidad\pptx-wsl","","instruccion"
"xlsx-wsl","contenido","comunidad","wsl(.grok)=\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\xlsx","\\wsl.localhost\Ubuntu\home\vonde\.grok\skills\xlsx","DD316DB7785A6BE12966C2A2D848931FBF5F518B3CDB0A66FA62EE835EAD1CFC","29/05/2026 10:22:28 p. m.","alta","C:\skills-library\contenido\comunidad\xlsx-wsl","","instruccion"
"antigravity-awesome-skills (868 skills, sin categorizar individualmente, ver antigravity.zip)","_archivo","comunidad","antigravity=C:\Users\vonde\antigravity-awesome-skills","C:\Users\vonde\antigravity-awesome-skills","e0b684c2d5108a4d2139b02598328d07048e6836d47c65d9874cfabbde2a4dd1 (hash de skills_index.json, carpeta completa comprimida sin descomprimir/revisar)","19/02/2026 14:17:33","alta","C:\skills-library\_archivo\antigravity.zip","pospuesto: catalogo de 868 skills comprimido sin revisar individualmente","instruccion"
"skill-creator-forge","_archivo","comunidad","jewel-ghl(.claude)=C:\dev\jewel-ghl\.claude\skills\skill-creator; jewel-ghl(core)=C:\dev\jewel-ghl\core\skills\skill-creator","C:\dev\jewel-ghl\.claude\skills\skill-creator","EFCD77750F801750BA55D783BF5E79DC27BA936BD99C65F8B13E0EB78DE9133C","06/24/2026 22:48:45","baja","C:\skills-library\_archivo\skill-creator-forge","pospuesto: variante distinta detectada (Forge/Verdent) de una skill que ya tiene version oficial activa; confianza baja, sin decidir si tiene valor propio","instruccion"
"skill-creator-verdent","_archivo","comunidad","verdent=C:\Users\vonde\.verdent\skills\skill-creator","C:\Users\vonde\.verdent\skills\skill-creator","B5D15E69AF8DD831AD7D68E7A8832366B9B84B31D513D048892AAA4D564CCAE8","05/12/2026 14:05:17","baja","C:\skills-library\_archivo\skill-creator-verdent","pospuesto: variante distinta detectada (Forge/Verdent) de una skill que ya tiene version oficial activa; confianza baja, sin decidir si tiene valor propio","instruccion"
"mcp-builder-antigravity","_archivo","comunidad","antigravity=C:\Users\vonde\antigravity-awesome-skills\skills\mcp-builder","C:\Users\vonde\antigravity-awesome-skills\skills\mcp-builder","57231330040E18E033DAD8B2FDC0340A6185034C32B42B7D3448F444A6AF6CF2","02/19/2026 14:17:32","alta","C:\skills-library\_archivo\mcp-builder-antigravity","descartado: version del catalogo antigravity superada por la copia .claude/skills mas reciente (confirmado, no es una decision pendiente)","instruccion"
